timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1484020914.429276,0.025151,0.567395,2.980958,-0.269050,0.253242,0.009319,0.021207,-0.537437,-0.843037,0.025942,0.018288,0.029499,14.810425,12.157043,4.928284,,,,,,
1484020914.449265,0.030507,0.562629,2.981354,-0.239309,0.268359,0.014536,0.025800,-0.533412,-0.845462,-0.003110,0.005961,0.030002,14.587494,12.532959,5.301086,,,,,,
,,,,,,,,,,,,,,,,33.759179,-118.389180,321.515594,-1.000000,-1.000000,1484020914.406276
,,,,,,,,,,,,,,,,33.759179,-118.389180,321.515594,-1.000000,-1.000000,1484020909.381907
1484020914.469254,0.034462,0.557217,2.982585,-0.338386,0.236668,0.052005,0.029243,-0.528827,-0.848226,-0.012367,-0.016706,0.009389,15.113495,12.756897,5.075684,,,,,,
1484020914.489273,0.036650,0.549113,2.984985,-0.447408,0.097653,0.109001,0.031255,-0.521931,-0.852415,-0.008687,-0.021893,-0.009996,15.339691,12.981689,5.224915,,,,,,
1484020914.509262,0.032302,0.539126,2.988314,-0.496980,-0.283919,0.139523,0.027715,-0.513386,-0.857710,0.015085,-0.009563,-0.061022,15.339691,12.981689,5.224915,,,,,,
1484020914.529282,0.022760,0.528826,2.992388,-0.540023,-0.393676,0.177121,0.019650,-0.504520,-0.863176,-0.003613,-0.021893,-0.020628,15.117874,13.582642,5.596619,,,,,,
1484020914.549271,0.011920,0.516960,2.998583,-0.634732,-0.327744,0.296503,0.010362,-0.494240,-0.869264,-0.037584,-0.003425,-0.007140,14.594696,14.032043,4.693542,,,,,,
1484020914.569290,0.006517,0.502799,3.006253,-0.765016,0.114825,0.333984,0.005711,-0.481880,-0.876218,-0.041142,-0.003151,0.037489,14.224060,14.932251,4.463501,,,,,,
1484020914.589279,0.009274,0.486244,3.014520,-0.872956,0.413199,0.386244,0.008199,-0.467308,-0.884057,-0.034521,-0.046043,-0.013023,13.926758,15.457947,4.610413,,,,,,
1484020914.609299,0.013732,0.467941,3.024305,-0.948338,0.489987,0.437271,0.012255,-0.451049,-0.892415,-0.031787,-0.042618,-0.039867,13.926758,15.457947,4.610413,,,,,,
1484020914.629288,0.023744,0.448076,3.033063,-1.022878,0.811108,0.322936,0.021398,-0.433233,-0.901028,-0.012624,0.010045,0.040631,13.932877,16.658203,4.829468,,,,,,
1484020914.649307,0.038634,0.428406,3.038438,-0.974833,0.873262,0.156927,0.035133,-0.415421,-0.908950,0.004600,0.062806,0.022781,14.461258,17.332520,4.826843,,,,,,
1484020914.669296,0.053651,0.409419,3.040933,-0.947691,0.722897,0.009678,0.049193,-0.398076,-0.916032,-0.008299,0.085866,0.009920,14.542145,18.458130,5.346313,,,,,,
1484020914.689316,0.064346,0.389982,3.039537,-1.004436,0.404137,-0.209170,0.059474,-0.380172,-0.923002,0.016316,0.069182,-0.001376,15.220230,19.057434,5.569397,,,,,,
1484020914.709305,0.073296,0.367844,3.032940,-1.115933,0.299387,-0.476880,0.068332,-0.359605,-0.930599,0.048444,0.037110,0.001690,15.220230,19.057434,5.569397,,,,,,
1484020914.729294,0.082999,0.346359,3.024214,-0.966159,0.379240,-0.462579,0.077981,-0.339475,-0.937377,-0.023980,-0.009936,0.036971,15.158630,21.683289,6.081116,,,,,,
1484020914.749313,0.095585,0.330062,3.018704,-0.695910,0.674387,-0.242806,0.090288,-0.324101,-0.941704,-0.015398,-0.049266,0.043617,15.315781,23.108093,6.149231,,,,,,
1484020914.769302,0.111051,0.318635,3.015794,-0.467350,0.626472,-0.223384,0.105245,-0.313271,-0.943814,0.010218,0.003151,0.031628,15.545868,24.083496,6.594727,,,,,,
1484020914.789322,0.117531,0.312381,3.011442,-0.206814,0.153159,-0.224887,0.111586,-0.307326,-0.945039,0.080278,-0.002474,-0.038878,16.299316,24.757568,6.742554,,,,,,
1484020914.809311,0.130141,0.309149,3.008601,-0.121418,0.974407,-0.115020,0.123622,-0.304248,-0.944537,-0.023570,0.012515,0.013477,16.299316,24.757568,6.742554,,,,,,
1484020914.829331,0.150695,0.306658,3.007428,-0.113561,0.902243,-0.069243,0.143121,-0.301874,-0.942543,-0.019922,0.081125,-0.055213,16.450729,24.983154,7.266541,,,,,,
1484020914.849320,0.163459,0.303728,3.005366,-0.128864,0.405371,-0.156551,0.155283,-0.299079,-0.941509,0.029028,0.061912,-0.065159,17.278152,25.432434,7.640503,,,,,,
1484020914.869339,0.166749,0.300282,3.002307,-0.174974,-0.017179,-0.187449,0.158550,-0.295789,-0.942003,0.051472,0.038938,-0.005522,17.954544,25.657166,8.165466,,,,,,
1484020914.889315,0.162865,0.294862,2.999362,-0.263049,-0.382099,-0.161525,0.155148,-0.290607,-0.944180,0.046512,0.009373,-0.015201,17.729721,25.658020,8.540100,,,,,,
1484020914.909335,0.153270,0.290677,2.999324,-0.157312,-0.499244,0.078183,0.146266,-0.286601,-0.946819,-0.015178,-0.023763,0.031810,17.729721,25.658020,8.540100,,,,,,
1484020914.929324,0.139748,0.290328,3.006855,-0.026485,-0.635490,0.534734,0.133464,-0.286266,-0.948809,-0.027034,-0.063465,-0.030210,17.432617,26.258240,8.311646,,,,,,
1484020914.949343,0.120797,0.293809,3.023218,0.163922,-0.731890,0.945063,0.115339,-0.289600,-0.950173,-0.086897,-0.059643,-0.102241,16.833710,26.557861,7.484253,,,,,,
1484020914.969332,0.098115,0.305228,3.044852,0.656656,-0.945391,1.132761,0.093430,-0.300511,-0.949191,-0.142304,-0.029934,-0.115475,15.929611,25.808228,6.811646,,,,,,
1484020914.989352,0.069948,0.326234,3.060728,1.159298,-1.289617,0.471084,0.066204,-0.320478,-0.944940,-0.073010,-0.043047,-0.065940,15.246597,24.233826,6.518555,,,,,,
1484020915.009341,0.043144,0.350008,3.051619,1.212563,-1.686136,-0.671151,0.040515,-0.342905,-0.938496,-0.046542,-0.206732,-0.140896,15.246597,24.233826,6.518555,,,,,,
1484020915.029330,0.012639,0.375047,3.039848,1.305745,-1.609272,-0.275133,0.011760,-0.366316,-0.930416,-0.214534,-0.096239,-0.120060,14.788498,22.732666,5.325317,,,,,,
1484020915.049349,-0.013198,0.399987,3.045718,1.231715,-1.009852,0.539039,-0.012156,-0.389406,-0.920986,-0.158605,-0.033964,-0.157963,12.831238,21.384094,4.279114,,,,,,
1484020915.069338,-0.035855,0.426640,3.054747,1.469792,-0.869363,0.127218,-0.032634,-0.413814,-0.909776,-0.226994,-0.052876,-0.321104,12.072723,19.734375,3.761292,,,,,,
1484020915.089358,-0.049573,0.462863,3.047252,1.979931,-1.002101,-0.704700,-0.044339,-0.446512,-0.893679,-0.200473,-0.084937,-0.252363,11.014053,18.010925,3.693298,,,,,,
1484020915.109347,-0.068827,0.504429,3.029457,2.005953,-1.532407,-0.973833,-0.060207,-0.483307,-0.873378,-0.121174,-0.093093,-0.126164,11.014053,18.010925,3.693298,,,,,,
1484020915.129366,-0.087853,0.543279,3.009119,1.811742,-1.337619,-1.067635,-0.075107,-0.516946,-0.852717,-0.115002,-0.054084,-0.053854,11.309006,17.034912,3.323608,,,,,,
1484020915.149355,-0.098191,0.578865,2.988092,1.602591,-0.891462,-1.061358,-0.082062,-0.547074,-0.833052,-0.082428,0.007676,0.007734,10.325363,15.311340,3.255737,,,,,,
1484020915.169375,-0.094304,0.608713,2.964648,1.273603,-0.219103,-1.127755,-0.077251,-0.571812,-0.816739,0.039638,0.053974,0.093046,9.490204,13.287476,3.189575,,,,,,
1484020915.189364,-0.080658,0.632334,2.941112,0.996044,0.056497,-1.013817,-0.064992,-0.591029,-0.804028,0.114065,0.113063,0.130688,9.861832,12.611938,3.193542,,,,,,
1484020915.209383,-0.068182,0.650356,2.918799,0.745604,-0.148522,-0.945683,-0.054222,-0.605470,-0.794019,0.168694,0.153978,0.143933,9.861832,12.611938,3.193542,,,,,,
1484020915.229373,-0.061726,0.664882,2.898180,0.657180,-0.371314,-0.794722,-0.048547,-0.616966,-0.785491,0.214868,0.162453,0.151213,10.458939,12.011353,3.422485,,,,,,
1484020915.249393,-0.061399,0.678470,2.881358,0.634033,-0.620069,-0.650696,-0.047771,-0.627603,-0.777067,0.278378,0.180856,0.133283,10.307571,11.711975,3.648743,,,,,,
1484020915.269382,-0.069584,0.691068,2.869617,0.566752,-0.862955,-0.387416,-0.053576,-0.637360,-0.768701,0.292910,0.166245,0.166101,10.006149,11.412537,3.799805,,,,,,
1484020915.289371,-0.086463,0.701261,2.865696,0.471342,-1.076422,-0.063811,-0.065978,-0.645182,-0.761175,0.263930,0.134119,0.146902,10.230606,11.336853,3.500427,,,,,,
1484020915.309390,-0.114951,0.710942,2.870960,0.527550,-1.310857,0.260506,-0.086912,-0.652548,-0.752747,0.180128,0.116049,0.103027,10.230606,11.336853,3.500427,,,,,,
1484020915.329379,-0.149383,0.720766,2.883272,0.546078,-1.293887,0.442720,-0.111814,-0.659961,-0.742933,0.131102,0.076968,0.085356,9.177948,10.813232,3.426514,,,,,,
1484020915.349398,-0.180276,0.728372,2.896425,0.383910,-0.979970,0.399691,-0.133805,-0.665655,-0.734166,0.105179,0.016684,0.077000,8.124557,10.139709,3.353333,,,,,,
1484020915.369387,-0.204032,0.732373,2.905612,0.210515,-0.968567,0.214523,-0.150665,-0.668636,-0.728166,0.089005,0.042446,-0.044508,6.246216,9.541504,2.678528,,,,,,
1484020915.389407,-0.244425,0.743288,2.909567,0.973089,-2.589043,-0.067892,-0.178170,-0.676713,-0.714364,0.078592,0.068558,-0.394309,5.419403,9.167908,2.754089,,,,,,
1484020915.409396,-0.325074,0.782426,2.920916,2.621996,-4.248597,-0.230994,-0.226505,-0.705002,-0.672062,0.057911,0.104004,-0.433605,5.419403,9.167908,2.754089,,,,,,
1484020915.429415,-0.442715,0.845316,2.946716,3.487033,-5.320458,-0.450004,-0.284237,-0.748181,-0.599529,-0.007404,-0.018375,-0.261586,3.541412,8.570740,2.754272,,,,,,
1484020915.449404,-0.583634,0.914264,2.982442,3.565629,-5.820409,-0.895377,-0.336353,-0.792114,-0.509336,-0.098218,-0.088639,-0.075915,0.907013,6.699585,2.684692,,,,,,
1484020915.469424,-0.728294,0.982889,3.020736,3.298679,-5.574902,-1.399632,-0.369154,-0.832103,-0.413919,-0.223360,-0.095997,0.059992,-2.403976,4.381348,3.891296,,,,,,
1484020915.489413,-0.868624,1.050402,3.057059,2.870029,-5.516543,-1.947728,-0.379600,-0.867623,-0.321145,-0.163491,-0.065970,0.137246,-6.324768,-0.033936,6.457520,,,,,,
1484020915.509432,-1.002335,1.111878,3.091670,2.202190,-4.637038,-1.925052,-0.373311,-0.896532,-0.238472,-0.122843,-0.080381,0.274803,-6.324768,-0.033936,6.457520,,,,,,
1484020915.529421,-1.061015,1.152887,3.102318,0.499997,-0.895343,-1.522030,-0.354248,-0.913939,-0.198050,-0.256852,-0.045854,0.489828,-7.830627,-1.379089,8.186951,,,,,,
1484020915.549441,-0.959802,1.168396,3.024363,-1.682781,2.638680,-1.484535,-0.320774,-0.920123,-0.224670,-0.121334,0.083469,0.485641,-8.960678,-2.500671,9.315857,,,,,,
1484020915.569430,-0.766813,1.160059,2.890043,-2.477421,3.732440,-1.317877,-0.277042,-0.916827,-0.287536,0.150440,0.190493,0.231643,-7.686768,-2.653625,8.643555,,,,,,
1484020915.589419,-0.592968,1.135662,2.779372,-2.280710,3.458703,-0.798516,-0.235563,-0.906813,-0.349571,0.369886,0.320952,0.072731,-2.355133,-1.016174,5.568359,,,,,,
1484020915.609438,-0.496622,1.108153,2.716960,-1.510970,0.783261,-0.186968,-0.212650,-0.894876,-0.392399,0.693608,0.417520,-0.324001,-2.355133,-1.016174,5.568359,,,,,,
1484020915.629427,-0.549026,1.099212,2.735759,0.810618,-3.442953,1.058633,-0.237079,-0.890850,-0.387531,0.972049,0.543163,-0.603634,-0.473785,0.329834,4.814453,,,,,,
1484020915.649447,-0.799851,1.121887,2.872685,3.987082,-8.035051,1.973429,-0.311275,-0.900921,-0.302405,0.906048,0.507092,-0.656595,-1.896210,0.782898,5.410034,,,,,,
1484020915.669436,-1.233833,1.140808,3.135787,5.790382,-10.634067,2.058958,-0.393417,-0.908971,-0.137823,0.409805,0.444509,-0.235071,-5.726089,-0.260315,6.084595,,,,,,
1484020915.689456,-1.719165,1.125686,-2.853716,6.140566,-10.885614,0.790857,-0.425827,-0.902563,0.063647,-0.255066,0.123663,0.399457,-17.583115,-2.775940,17.179321,,,,,,
1484020915.709445,-2.115346,1.090758,-2.624176,4.785868,-8.430065,-0.564993,-0.395017,-0.886977,0.239234,-0.657504,-0.234223,0.934914,-17.583115,-2.775940,17.179321,,,,,,
1484020915.729465,-2.345470,1.064304,-2.490084,2.298059,-3.699746,-0.967689,-0.346686,-0.874451,0.339328,-0.695047,-0.606796,1.371289,-20.285782,-4.035950,24.456604,,,,,,
1484020915.749453,-2.368717,1.072209,-2.466962,-1.289185,1.931994,-0.471431,-0.333868,-0.878259,0.342336,-0.597651,-0.706565,1.587718,-19.840927,-5.529663,29.114685,,,,,,
1484020915.769473,-2.192987,1.123822,-2.566455,-4.559380,5.482219,-0.669781,-0.351239,-0.901759,0.251916,-0.734760,-0.531178,1.373877,-20.068954,-6.129517,29.042297,,,,,,
1484020915.789462,-1.844609,1.200950,-2.801484,-6.474756,7.272491,-1.956542,-0.348006,-0.932383,0.097744,-0.780198,-0.226644,0.935475,-18.867142,-5.387024,25.215454,,,,,,
1484020915.809481,-1.298439,1.254655,3.073286,-6.877322,8.458897,-2.926977,-0.299441,-0.950442,-0.083633,-0.430798,0.054263,0.535751,-18.867142,-5.387024,25.215454,,,,,,
1484020915.829470,-0.714846,1.239710,2.640151,-5.595881,8.597591,-3.031809,-0.213084,-0.945690,-0.245491,-0.018086,0.340313,0.204476,-12.036224,-2.867188,11.863098,,,,,,
1484020915.849459,-0.291312,1.190571,2.360792,-3.881401,7.714564,-3.123971,-0.106592,-0.928581,-0.355493,0.176462,0.577019,0.170084,-5.652908,-0.709229,6.911865,,,,,,
1484020915.869479,0.012956,1.138790,2.178359,-2.594976,6.279250,-3.246381,0.005424,-0.908128,-0.418658,0.318215,0.675721,0.179614,-0.014816,2.129028,4.731140,,,,,,
1484020915.889459,0.231312,1.093140,2.047385,-1.566640,4.289062,-3.036762,0.105388,-0.888075,-0.447455,0.600819,0.716261,0.238792,5.546249,4.370239,4.428284,,,,,,
1484020915.909477,0.371635,1.052381,1.956691,-1.235063,2.306185,-2.416464,0.179937,-0.868605,-0.461679,0.961588,0.750960,0.307717,5.546249,4.370239,4.428284,,,,,,
1484020915.929466,0.437032,1.016385,1.912492,-1.158601,0.891774,-1.344743,0.222818,-0.850210,-0.476964,1.393378,0.950751,0.126439,12.087204,7.363464,6.448181,,,,,,
1484020915.949486,0.441766,0.998464,1.907896,-0.439965,-0.531178,0.090505,0.231552,-0.840640,-0.489600,1.890824,1.142886,-0.110696,13.520844,9.086487,6.516663,,,,,,
1484020915.969476,0.355795,1.014057,1.944471,0.932373,-4.285371,1.932946,0.184068,-0.848983,-0.495325,2.185241,1.356917,-0.487814,13.599564,9.836182,6.438110,,,,,,
1484020915.989495,0.136779,1.075349,2.053265,3.189485,-7.163975,4.316657,0.064825,-0.879756,-0.470985,1.939981,1.574657,-0.643502,10.970673,9.163513,5.387451,,,,,,
1484020916.009484,-0.259386,1.157806,2.318675,5.201578,-8.251148,6.138322,-0.102941,-0.915925,-0.387924,1.241750,1.746934,-0.614853,10.970673,9.163513,5.387451,,,,,,
1484020916.029504,-0.853394,1.202794,2.767456,7.051414,-9.240873,5.633060,-0.271079,-0.933048,-0.236512,0.032996,1.733326,-0.553573,5.330765,6.245972,4.718567,,,,,,
1484020916.049493,-1.496796,1.189177,-3.017050,8.615091,-8.590880,3.006160,-0.371404,-0.928063,-0.027534,-1.014368,1.351891,-0.424736,-9.550629,-0.475037,9.154846,,,,,,
1484020916.069512,-2.015037,1.123632,-2.597442,8.842346,-5.148449,0.996449,-0.390440,-0.901677,0.185838,-1.306078,0.952885,-0.030427,-15.639130,-3.831116,15.687561,,,,,,
1484020916.089500,-2.308323,1.017775,-2.316884,8.398480,-0.777940,0.338799,-0.388763,-0.850942,0.353216,-1.252808,0.690907,0.581537,-18.051590,-7.115479,23.650330,,,,,,
1484020916.109520,-2.469254,0.897216,-2.117828,8.241371,0.133269,-0.357433,-0.388507,-0.781593,0.488032,-0.764829,0.408073,1.539358,-18.051590,-7.115479,23.650330,,,,,,
1484020916.129509,-2.588636,0.784274,-1.972936,6.594853,-0.916823,-0.782308,-0.371794,-0.706312,0.602406,-0.462542,0.226621,1.999477,-18.357956,-9.055054,30.334534,,,,,,
1484020916.149498,-2.627949,0.719954,-1.910588,2.052208,1.464132,0.061550,-0.369418,-0.659350,0.654819,-0.031843,0.006548,2.964489,-16.252197,-9.115173,42.413025,,,,,,
1484020916.169518,-2.507033,0.728945,-1.950213,-2.981828,6.596054,1.547965,-0.442173,-0.666083,0.600679,0.091771,-0.109277,3.396208,-16.775436,-8.961426,44.361450,,,,,,
1484020916.189507,-2.258449,0.773618,-2.088797,-6.151075,7.794880,2.233327,-0.552807,-0.698728,0.454074,0.134228,-0.062823,3.019116,-18.947281,-7.988220,40.978394,,,,,,
1484020916.209527,-1.974393,0.819718,-2.291596,-7.870896,6.510114,1.215133,-0.627597,-0.730953,0.268009,-0.527020,0.064755,2.449231,-18.947281,-7.988220,40.978394,,,,,,
1484020916.229516,-1.653871,0.858626,-2.547601,-9.254841,6.826619,-0.464378,-0.651224,-0.756945,0.054225,-1.140020,0.263125,1.883519,-21.268448,-6.495667,33.692383,,,,,,
1484020916.249536,-1.263218,0.869132,-2.850608,-9.883722,8.696642,-2.329807,-0.615197,-0.763769,-0.195423,-1.339821,0.555609,1.344349,-19.971756,-0.448242,16.639038,,,,,,
1484020916.269525,-0.846283,0.836131,3.124047,-9.359739,9.333740,-4.318491,-0.501965,-0.742055,-0.444282,-1.171757,0.827962,0.852195,-15.827164,4.258789,8.746704,,,,,,
1484020916.289544,-0.462711,0.764216,2.847410,-8.284303,9.189957,-6.175772,-0.322250,-0.691971,-0.646011,-1.010239,0.973237,0.627976,-8.823425,10.614136,2.650513,,,,,,
1484020916.309533,-0.125054,0.661084,2.611146,-7.026607,9.140672,-7.505823,-0.098451,-0.613973,-0.783163,-0.963576,1.191060,0.546560,-8.823425,10.614136,2.650513,,,,,,
1484020916.329553,0.149808,0.537108,2.420534,-5.454574,7.615909,-8.327953,0.128233,-0.511653,-0.849569,-0.676573,1.381038,0.359258,-0.689697,17.573669,0.527893,,,,,,
1484020916.349541,0.346758,0.408169,2.250308,-3.669716,5.065556,-9.323579,0.311932,-0.396929,-0.863218,-0.543377,1.540789,0.041929,7.750259,25.437988,1.776245,,,,,,
1484020916.369560,0.475784,0.282190,2.082263,-1.889967,2.782348,-9.979325,0.439920,-0.278459,-0.853775,-0.441796,1.665682,-0.097290,14.385696,46.592041,11.130432,,,,,,
1484020916.389549,0.535534,0.176886,1.913775,0.228852,-0.051986,-9.603922,0.502338,-0.175965,-0.846577,-0.104801,1.837296,-0.373516,13.770279,58.148376,14.746765,,,,,,
1484020916.409570,0.525627,0.112323,1.737474,2.491505,-2.414035,-8.902668,0.498594,-0.112087,-0.859558,0.289645,1.958522,-0.799865,13.770279,58.148376,14.746765,,,,,,
1484020916.429559,0.482783,0.088276,1.553957,3.859958,-3.438567,-8.508642,0.462438,-0.088161,-0.882258,0.300792,2.109936,-0.886892,9.544052,67.682983,16.942688,,,,,,
1484020916.449548,0.415495,0.101767,1.357768,5.621480,-4.889061,-8.675263,0.401555,-0.101592,-0.910183,0.319835,2.241698,-1.106815,3.648773,73.690857,16.303772,,,,,,
1484020916.469567,0.322724,0.169393,1.135110,8.095729,-6.873150,-9.380988,0.312612,-0.168584,-0.934801,0.608928,2.465138,-1.372526,-9.854523,73.479370,11.784607,,,,,,
1484020916.489556,0.222038,0.292579,0.896045,9.522310,-8.127939,-9.667425,0.210859,-0.288422,-0.933997,0.997316,2.600998,-1.356301,-16.641953,66.285156,8.885376,,,,,,
1484020916.509576,0.143423,0.451240,0.659712,9.954309,-8.167066,-9.215568,0.128625,-0.436082,-0.890667,1.162741,2.587464,-1.335956,-16.641953,66.285156,8.885376,,,,,,
1484020916.529565,0.122115,0.630085,0.437063,10.270137,-5.718763,-7.751805,0.098422,-0.589214,-0.801960,1.206480,2.468532,-1.449840,-22.780380,53.766968,7.213806,,,,,,
1484020916.549583,0.190010,0.825855,0.223746,11.345541,-2.544729,-5.604352,0.128039,-0.735127,-0.665728,1.062207,2.414861,-1.535352,-26.153854,38.998047,7.957581,,,,,,
1484020916.569572,0.363809,1.037643,-0.022636,12.620364,-0.653420,-3.512895,0.180855,-0.861209,-0.474985,0.874001,2.441287,-1.265478,-21.660049,7.273682,12.847961,,,,,,
1484020916.589592,0.750338,1.233839,-0.445985,12.829757,0.401027,-1.927474,0.225443,-0.943765,-0.241833,0.501943,2.386728,-0.561192,-17.889435,-4.198120,18.760986,,,,,,
1484020916.609581,1.538128,1.320083,-1.234476,11.014843,2.353000,-0.477089,0.247962,-0.968736,-0.008103,0.053567,2.188340,0.131822,-17.889435,-4.198120,18.760986,,,,,,
1484020916.629601,2.255344,1.264154,-1.899404,8.504079,4.585716,0.771325,0.233852,-0.953352,0.190873,-0.222744,1.929778,0.288604,-15.365967,-10.339417,27.120483,,,,,,
1484020916.649590,2.667814,1.161584,-2.221531,7.058029,5.804067,1.236310,0.181537,-0.917435,0.354060,-0.475284,1.730011,0.332479,-14.694580,-11.828857,34.778870,,,,,,
1484020916.669610,2.906181,1.039590,-2.366082,6.989221,5.172221,0.824265,0.118155,-0.862197,0.492602,-0.590979,1.603331,0.289793,-16.036392,-10.768188,40.546631,,,,,,
1484020916.689599,3.054387,0.894452,-2.433626,7.723606,4.284919,0.683491,0.054517,-0.779866,0.623568,-0.582151,1.385838,0.485777,-20.051498,-4.895630,51.611206,,,,,,
1484020916.709619,-3.115988,0.748601,-2.468292,6.955738,4.775572,1.218740,-0.018757,-0.680615,0.732401,-0.454266,1.036145,1.128530,-20.051498,-4.895630,51.611206,,,,,,
1484020916.729608,-2.971455,0.642098,-2.503849,3.784147,7.062253,2.165901,-0.135597,-0.598877,0.789278,-0.357231,0.564087,1.903715,-22.798706,0.067444,57.582275,,,,,,
1484020916.749597,-2.779101,0.609474,-2.554861,-0.572591,8.618417,2.430349,-0.290758,-0.572436,0.766666,-0.335890,0.176150,2.451031,-27.040573,6.230774,62.195068,,,,,,
1484020916.769616,-2.559323,0.629137,-2.639653,-3.325763,8.342416,2.777040,-0.444631,-0.588448,0.675302,-0.183650,-0.087471,2.372168,-32.491104,11.187988,61.562073,,,,,,
1484020916.789604,-2.330683,0.655383,-2.764835,-4.713116,7.314109,3.021370,-0.574722,-0.609463,0.546122,-0.207962,-0.326389,2.168569,-41.316101,17.407959,49.367798,,,,,,
1484020916.809624,-2.102828,0.678285,-2.912721,-5.697585,6.643925,2.144312,-0.671023,-0.627459,0.394997,-0.798016,-0.532804,1.942573,-41.316101,17.407959,49.367798,,,,,,
1484020916.829613,-1.880273,0.713309,-3.066997,-6.313212,5.843487,-0.115463,-0.720276,-0.654339,0.230308,-1.472213,-0.577472,1.509636,-44.152161,20.926270,42.070984,,,,,,
1484020916.849633,-1.673916,0.773837,3.052885,-6.583916,4.107947,-2.712745,-0.711435,-0.698884,0.073624,-1.713064,-0.408248,0.996459,-44.740524,23.991028,34.704712,,,,,,
1484020916.869622,-1.482147,0.854999,2.868152,-6.105395,2.184299,-4.687904,-0.653642,-0.754570,-0.058097,-1.664900,0.000237,0.368049,-42.563202,25.177002,27.502075,,,,,,
1484020916.889641,-1.303768,0.945003,2.667199,-4.832462,0.355953,-6.047622,-0.564982,-0.810498,-0.154557,-1.433538,0.414258,-0.224212,-39.719513,24.489075,21.734741,,,,,,
1484020916.909630,-1.132096,1.047823,2.443468,-3.426080,-1.473315,-7.443211,-0.452162,-0.866338,-0.212152,-1.284487,0.736516,-0.576636,-39.719513,24.489075,21.734741,,,,,,
1484020916.929649,-0.913314,1.156868,2.146881,-2.652776,-2.777636,-8.516937,-0.318362,-0.915548,-0.245800,-1.075864,1.053564,-0.637486,-32.616943,20.569885,16.065002,,,,,,
1484020916.949638,-0.549599,1.243821,1.685941,-2.250676,-3.621579,-9.290661,-0.167767,-0.947018,-0.273881,-0.884998,1.340542,-0.631285,-28.812378,16.661560,14.290283,,,,,,
1484020916.969658,-0.029315,1.256491,1.062674,-2.223331,-3.612606,-9.538150,-0.009062,-0.951011,-0.309023,-0.673846,1.574806,-0.499357,-24.857208,12.828674,12.965393,,,,,,
1484020916.989647,0.389872,1.172358,0.546089,-2.587200,-3.146539,-9.563511,0.147459,-0.921668,-0.358864,-0.461043,1.806846,-0.478935,-21.050354,9.296387,11.938782,,,,,,
1484020917.009666,0.611845,1.028285,0.232025,-2.939973,-2.942379,-9.804014,0.296545,-0.856415,-0.422629,-0.218695,2.029876,-0.678751,-21.050354,9.296387,11.938782,,,,,,
1484020917.029655,0.720434,0.868263,0.019364,-1.835960,-3.434989,-9.671657,0.426274,-0.763208,-0.485597,0.097041,2.160302,-1.095702,-13.269485,5.829346,8.367737,,,,,,
1484020917.049644,0.780220,0.745370,-0.158143,0.622526,-3.198509,-8.051873,0.516910,-0.678244,-0.522292,0.626186,2.039099,-1.264985,-9.974396,4.997253,6.876892,,,,,,
1484020917.069664,0.834915,0.673093,-0.311582,2.287962,-1.585351,-5.708156,0.579573,-0.623408,-0.524841,1.110887,1.824351,-1.163651,-7.131683,3.641479,5.912903,,,,,,
1484020917.089653,0.895278,0.654917,-0.435405,3.580886,-0.487747,-2.737904,0.618921,-0.609093,-0.495926,1.403266,1.664681,-1.001922,-3.840485,1.837097,6.301880,,,,,,
1484020917.109673,0.948886,0.690386,-0.529149,4.177591,-0.056630,0.328796,0.626644,-0.636835,-0.449176,1.390873,1.550928,-0.722699,-3.840485,1.837097,6.301880,,,,,,
1484020917.129662,0.999246,0.772383,-0.592567,4.272148,0.766389,3.066746,0.602412,-0.697844,-0.387446,1.105322,1.486952,-0.424414,-0.950714,-5.438843,8.592529,,,,,,
1484020917.149681,1.053077,0.892320,-0.623944,3.815096,2.046725,5.447204,0.545360,-0.778530,-0.310603,0.742101,1.460613,-0.162374,-1.567108,-8.959229,11.009277,,,,,,
1484020917.169670,1.099932,1.044037,-0.614687,3.143662,3.106675,7.647586,0.448026,-0.864441,-0.228069,0.536349,1.500549,-0.079976,-3.826721,-11.127075,13.491699,,,,,,
1484020917.189690,1.089739,1.230270,-0.539396,2.683195,2.595194,9.847035,0.296078,-0.942579,-0.154540,0.566807,1.597883,-0.121507,-7.874191,-10.965881,16.934814,,,,,,
1484020917.209679,0.728496,1.441028,-0.130114,2.622946,1.719082,11.797557,0.086151,-0.991592,-0.096559,0.362839,1.862899,-0.156585,-7.874191,-10.965881,16.934814,,,,,,
1484020917.229698,-1.316082,1.404908,1.966289,3.088105,2.595834,12.828242,-0.159801,-0.986272,-0.041607,-0.455754,2.131810,-0.088001,-14.233932,-8.251282,20.286743,,,,,,
1484020917.249687,-1.567278,1.172574,2.312982,3.397507,5.366791,11.029266,-0.387778,-0.921752,-0.001364,-1.640405,1.630111,0.014655,-32.965378,9.565247,29.244568,,,,,,
